ISO3,Country,hdicode,region,hdi_rank_2021,le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021
CHN,China,High,EAP,79,68.0052,68.1688,68.7345,69.2164,69.5201,70.008,70.2659,70.672,71.1721,71.4188,71.8807,72.6061,72.985,73.3714,73.7477,74.1111,74.5037,74.7619,74.8719,75.3434,75.5991,75.9032,76.1923,76.4523,76.7173,76.9771,77.2177,77.2476,77.7444,77.968,78.0766,78.2107
CIV,C̫te d'Ivoire,Medium,SSA,159,52.6026,52.323,52.1382,51.9249,51.7368,51.6104,51.5205,51.4487,51.1078,50.9574,50.8423,50.8098,50.8857,50.9543,51.3628,51.824,52.3554,52.9697,53.6532,54.3938,55.0225,55.5195,56.1579,56.7481,57.208,57.7624,58.0599,58.4805,58.8494,59.3185,59.0318,58.5983
CMR,Cameroon,Medium,SSA,151,54.8679,54.6577,54.4809,54.0615,53.5281,53.2218,52.8198,52.7367,52.582,52.6946,52.9317,53.1423,53.4148,53.8826,54.1779,54.3619,54.8564,55.1653,55.6548,56.1019,56.582,57.1331,57.7922,58.4761,58.9355,59.658,60.2333,60.8103,61.1798,61.5839,60.8328,60.3334
COD,Congo (Democratic Republic of the),Low,SSA,179,48.6006,48.9478,49.2436,49.5512,49.8841,50.411,49.3072,50.4021,49.6956,49.9448,51.7812,52.1162,52.3327,52.8266,53.426,53.9267,54.5338,54.9226,55.3386,55.8363,56.4167,57.0693,57.2484,57.7618,58.2963,58.49,59.0664,59.4114,59.9417,60.2757,59.7392,59.193
COG,Congo,Medium,SSA,153,55.9261,55.2431,54.663,54.1462,53.7383,53.644,53.4908,47.1899,50.8935,52.7573,53.682,54.3945,55.0878,55.9481,56.986,58.1255,58.8784,59.6433,60.4265,61.0883,61.6833,61.9924,62.317,62.6947,62.9502,63.2329,63.5765,63.76,64.0531,62.7467,63.7852,63.5187
COL,Colombia,High,LAC,88,68.644,68.8127,69.0381,69.3418,69.6132,69.9325,70.1885,70.4919,70.7378,70.9257,71.3201,71.502,71.9389,72.3606,72.6951,73.0814,73.468,73.8372,74.295,74.7418,75.0327,75.3198,75.5973,75.8267,76.0427,76.2573,76.4713,76.6456,76.7479,76.7523,74.7692,72.8296
COM,Comoros,Medium,SSA,156,55.8404,56.1941,56.733,57.2762,57.694,58.0146,58.3444,58.3899,58.4068,58.7809,58.7565,59.1631,59.0556,59.2578,59.4803,59.6041,59.8751,60.102,60.4747,60.8314,61.1233,61.5033,61.834,62.2244,62.5158,62.8956,63.2368,63.6254,63.9117,64.0684,64.1665,63.4174
CPV,Cabo Verde,Medium,SSA,128,65.0227,65.1762,65.318,65.3121,65.2504,64.0928,65.7627,66.3779,66.9928,67.5686,68.6183,69.9287,70.7054,71.4289,71.9991,72.6804,72.2394,72.8349,72.5077,73.0875,73.4986,74.2565,74.4838,75.059,75.24,74.6195,75.7423,76.5928,75.7331,76.0042,74.8077,74.0518
CRI,Costa Rica,Very High,LAC,58,76.6301,76.5905,76.6269,76.7029,76.67,76.5519,76.8042,77.0703,76.8963,77.1375,77.5857,77.5453,77.9833,78.072,78.3305,78.5053,78.5145,78.4621,78.4451,78.6721,78.6704,79.3477,79.2827,79.4034,78.7741,79.0857,79.4592,79.3769,79.4835,79.4272,79.277,77.0232
CUB,Cuba,High,LAC,83,74.0389,74.093,74.1615,74.2608,74.4106,74.6231,74.9026,75.2223,75.5639,75.8926,76.1831,76.4208,76.6124,76.7729,76.9116,77.0469,77.1788,77.3072,77.4294,77.5483,77.661,77.7597,77.8328,77.8698,77.8533,77.772,77.643,77.5286,77.4962,77.6112,77.5673,73.6829
